date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-02-26,25.95,35.75,17.66,16.39,0.0,2.13,4.21,1.23,59.7,0.15,0.23,0.25
2014-02-27,26.97,36.95,18.66,16.17,0.0,1.59,3.19,0.76,65.7,0.15,0.23,0.25
2014-02-28,28.5,37.37,20.48,16.48,0.04,0.96,1.75,0.17,280.3,0.15,0.23,0.25
2014-03-01,26.03,33.18,20.29,17.06,0.09,1.4,2.77,0.88,351.0,0.15,0.23,0.25
2014-03-02,27.22,34.32,21.24,23.56,0.0,0.68,1.27,0.15,34.3,0.15,0.23,0.25
2014-03-03,26.97,34.68,20.29,33.87,0.12,1.59,2.81,0.65,69.1,0.16,0.23,0.25
2014-03-04,26.73,35.28,19.19,27.67,0.02,1.74,3.52,0.89,83.9,0.16,0.23,0.24
2014-03-05,28.27,36.72,19.92,22.46,0.18,1.05,2.42,0.17,93.2,0.16,0.23,0.24
2014-03-06,29.69,37.16,22.37,24.69,0.13,0.72,1.74,0.18,101.3,0.16,0.23,0.24
2014-03-07,28.92,37.24,22.2,24.81,0.1,1.19,2.01,0.52,35.8,0.16,0.23,0.24
2014-03-08,28.23,38.43,19.53,13.33,0.0,1.63,2.64,1.03,16.0,0.15,0.23,0.24
2014-03-09,26.23,36.18,16.9,11.0,0.0,2.3,4.3,1.2,49.1,0.15,0.23,0.24
2014-03-10,25.13,34.46,16.66,11.52,0.0,2.4,3.85,1.15,58.9,0.14,0.23,0.24
2014-03-11,24.85,35.15,14.97,9.71,0.0,2.14,3.67,1.06,59.3,0.14,0.23,0.24
2014-03-12,25.48,35.65,15.74,10.03,0.0,2.54,4.58,1.4,61.9,0.14,0.23,0.24
2014-03-13,26.2,36.22,17.09,11.78,0.0,2.21,4.63,1.21,72.3,0.14,0.23,0.24
2014-03-14,27.91,38.05,19.46,15.56,0.0,2.24,4.43,1.14,69.7,0.14,0.23,0.24
2014-03-15,29.67,38.79,21.17,20.87,0.0,2.27,4.42,0.96,69.2,0.14,0.23,0.24
2014-03-16,30.02,39.82,21.14,17.77,0.0,2.21,4.15,1.12,83.1,0.14,0.23,0.24
2014-03-17,29.87,39.38,20.77,19.04,0.01,1.87,3.63,1.07,109.3,0.14,0.23,0.24
2014-03-18,29.96,38.49,22.73,20.63,0.11,1.5,3.23,0.06,75.0,0.14,0.23,0.24
2014-03-19,28.61,38.44,19.74,15.98,0.0,2.31,4.0,1.21,72.2,0.14,0.23,0.24
2014-03-20,28.4,37.71,21.06,16.46,0.0,2.63,4.71,1.28,65.1,0.14,0.23,0.24
2014-03-21,28.68,38.65,19.91,14.41,0.0,1.94,4.02,0.91,81.7,0.14,0.23,0.24
2014-03-22,29.94,39.17,19.44,13.38,0.0,1.13,1.99,0.49,101.9,0.13,0.23,0.24
2014-03-23,30.65,37.52,23.44,32.99,0.0,2.06,3.68,1.03,236.8,0.14,0.23,0.24
2014-03-24,31.8,38.72,26.23,31.0,0.0,1.8,3.55,0.6,291.0,0.14,0.23,0.24
2014-03-25,31.34,40.27,22.93,16.18,0.0,1.76,2.88,0.82,313.0,0.14,0.23,0.24
2014-03-26,30.35,38.23,21.17,13.55,0.0,1.28,2.68,0.52,287.7,0.13,0.23,0.24
2014-03-27,29.45,36.4,22.84,27.88,0.0,1.84,3.54,0.98,246.6,0.14,0.23,0.24
2014-03-28,32.02,40.49,23.97,35.11,0.0,1.59,3.07,0.28,225.3,0.14,0.23,0.24
2014-03-29,31.9,39.07,24.29,35.8,0.0,2.64,4.23,1.29,251.5,0.14,0.22,0.24
2014-03-30,31.79,40.31,23.29,22.02,0.0,1.27,2.89,0.72,327.8,0.14,0.22,0.24
2014-03-31,31.35,40.22,24.0,19.82,0.0,1.8,2.91,0.84,306.5,0.14,0.22,0.24
2014-04-01,30.31,40.16,21.75,11.7,0.0,1.59,2.85,0.42,31.4,0.13,0.22,0.24
2014-04-02,29.89,39.31,21.07,11.03,0.0,1.81,3.31,1.03,59.4,0.13,0.22,0.24
2014-04-03,30.38,40.28,21.53,12.53,0.0,1.96,3.39,1.0,62.8,0.12,0.22,0.24
2014-04-04,30.31,40.35,21.32,10.86,0.0,2.38,3.93,1.34,52.7,0.12,0.22,0.24
2014-04-05,30.38,40.28,20.92,12.67,0.0,1.92,3.09,1.11,51.7,0.12,0.22,0.24
2014-04-06,30.91,38.44,22.2,27.06,0.1,1.64,3.57,0.66,212.6,0.13,0.22,0.23
2014-04-07,32.15,39.41,26.47,36.86,0.12,2.01,3.82,0.67,250.3,0.13,0.22,0.23
2014-04-08,31.69,38.36,26.12,40.0,0.45,1.46,2.55,0.32,274.9,0.14,0.22,0.23
2014-04-09,31.79,38.39,26.55,38.21,0.93,1.62,2.63,0.19,332.2,0.17,0.22,0.24
2014-04-10,31.31,39.22,24.26,25.75,0.13,1.73,2.95,0.37,72.2,0.17,0.23,0.24
2014-04-11,30.59,38.88,23.13,22.49,1.11,1.28,2.51,0.59,105.9,0.18,0.23,0.24
2014-04-12,31.83,39.88,25.15,22.79,0.28,1.41,2.73,0.4,76.3,0.18,0.23,0.24
2014-04-13,30.95,40.25,22.34,17.84,0.52,2.17,4.23,0.86,93.4,0.16,0.22,0.23
2014-04-14,31.59,40.39,22.05,24.05,0.3,1.12,2.1,0.16,126.5,0.17,0.22,0.23
2014-04-15,32.34,40.02,24.7,42.68,0.88,2.04,3.7,0.43,262.5,0.17,0.22,0.23
2014-04-16,34.26,40.72,26.51,31.22,1.88,1.02,2.15,0.1,318.5,0.21,0.23,0.24
2014-04-17,31.78,38.07,26.25,42.1,3.44,2.32,3.71,0.82,227.0,0.26,0.23,0.24
2014-04-18,29.93,34.7,25.88,56.73,1.29,2.39,3.68,1.29,218.6,0.28,0.23,0.24
2014-04-19,30.53,36.75,24.89,53.22,1.95,1.59,3.71,0.51,232.0,0.27,0.23,0.24
2014-04-20,30.64,37.04,25.09,54.96,6.31,1.55,2.85,0.52,201.0,0.33,0.24,0.24
2014-04-21,31.33,39.01,24.75,46.1,2.0,1.94,2.94,0.88,316.0,0.3,0.24,0.24
2014-04-22,31.71,39.08,24.64,39.77,2.41,1.28,2.4,0.76,84.1,0.27,0.24,0.24
2014-04-23,31.01,39.6,22.29,27.92,1.72,1.26,2.45,0.21,49.7,0.25,0.24,0.24
2014-04-24,31.74,39.61,24.93,38.94,3.72,1.91,3.41,0.43,117.5,0.26,0.24,0.24
2014-04-25,31.17,37.13,24.81,51.05,4.31,1.36,3.18,0.08,230.9,0.33,0.25,0.24
2014-04-26,30.85,36.65,25.83,51.32,1.15,3.1,4.07,1.61,240.9,0.28,0.25,0.24
2014-04-27,30.55,36.78,25.4,53.04,0.71,1.67,3.11,0.14,253.1,0.26,0.25,0.24
2014-04-28,30.05,36.0,25.49,52.77,1.25,1.96,3.13,1.34,192.1,0.25,0.25,0.24
2014-04-29,30.04,36.19,24.39,51.72,1.24,1.86,2.81,1.35,216.2,0.26,0.25,0.24
2014-04-30,30.95,37.83,24.76,49.94,2.72,1.6,3.25,0.51,230.8,0.27,0.25,0.25
2014-05-01,29.54,34.33,24.71,55.21,1.02,2.63,3.32,1.49,256.9,0.27,0.25,0.25
2014-05-02,31.91,38.51,25.08,45.31,2.88,1.36,2.46,0.08,246.3,0.27,0.25,0.25
2014-05-03,29.66,33.8,26.42,58.61,7.2,1.74,2.81,0.89,216.6,0.34,0.25,0.25
2014-05-04,28.53,32.88,24.71,63.42,4.9,1.28,2.82,0.21,127.0,0.37,0.26,0.25
2014-05-05,29.52,36.03,23.71,54.37,3.72,1.45,3.36,0.35,111.0,0.33,0.26,0.25
2014-05-06,30.83,37.82,23.63,46.81,0.96,1.65,2.61,0.79,127.2,0.29,0.26,0.25
2014-05-07,29.65,33.84,26.03,55.93,0.43,1.43,2.01,0.7,204.8,0.25,0.26,0.25
2014-05-08,29.44,35.22,24.03,52.86,0.56,1.69,3.1,0.2,258.8,0.24,0.26,0.25
2014-05-09,29.67,35.41,24.26,50.14,0.22,1.43,2.87,0.04,321.5,0.23,0.25,0.25
2014-05-10,30.63,37.94,22.8,36.7,0.25,1.21,2.36,0.38,358.4,0.22,0.25,0.25
2014-05-11,31.65,39.36,24.41,25.26,0.12,1.67,3.13,0.26,27.9,0.2,0.25,0.25
2014-05-12,31.79,39.6,24.33,23.15,0.23,1.28,2.49,0.39,53.5,0.19,0.25,0.25
2014-05-13,29.68,34.59,25.3,47.56,0.69,2.58,4.27,0.89,83.7,0.2,0.25,0.25
2014-05-14,29.8,36.27,23.88,42.85,0.03,2.54,4.11,1.26,64.8,0.21,0.25,0.25
2014-05-15,30.32,37.81,24.72,27.8,0.0,2.29,3.71,0.98,77.6,0.19,0.24,0.25
2014-05-16,30.82,39.44,22.44,26.91,0.01,1.41,2.44,0.77,124.1,0.18,0.24,0.25
2014-05-17,31.47,39.88,22.48,30.02,0.16,1.59,3.13,0.76,120.6,0.18,0.24,0.25
2014-05-18,32.36,40.15,24.53,38.87,0.17,1.16,2.17,0.3,196.7,0.18,0.24,0.25
2014-05-19,32.41,40.77,24.92,39.84,0.04,1.83,2.76,0.26,276.2,0.18,0.24,0.25
2014-05-20,32.32,40.91,24.65,42.65,0.02,2.09,3.85,0.38,102.1,0.17,0.24,0.25
2014-05-21,32.64,41.56,24.93,26.77,0.15,1.74,3.86,0.47,78.6,0.17,0.24,0.25
2014-05-22,31.72,40.08,22.85,37.48,0.64,1.5,3.25,0.55,185.7,0.17,0.24,0.25
2014-05-23,33.06,40.99,25.5,38.46,0.35,1.58,2.93,0.31,226.4,0.18,0.24,0.25
2014-05-24,32.68,40.91,24.73,41.49,0.45,1.62,2.85,0.18,224.4,0.18,0.24,0.25
2014-05-25,33.11,41.16,25.26,41.95,0.47,1.69,2.91,0.17,210.9,0.19,0.24,0.25
2014-05-26,33.5,41.58,26.06,37.49,1.63,1.48,2.93,0.35,28.2,0.2,0.24,0.25
2014-05-27,31.91,38.73,24.64,49.54,1.6,1.73,2.4,0.59,174.0,0.24,0.24,0.25
2014-05-28,29.73,33.83,25.95,61.23,7.25,2.09,3.3,0.95,210.1,0.34,0.25,0.25
2014-05-29,28.84,33.41,24.73,63.1,3.98,1.45,2.36,0.46,184.0,0.34,0.25,0.25
2014-05-30,31.39,38.69,24.79,47.99,0.37,1.39,2.52,0.51,106.4,0.28,0.25,0.25
2014-05-31,31.83,40.16,23.93,44.37,0.55,1.64,2.77,0.5,186.1,0.23,0.25,0.25
2014-06-01,30.3,35.44,24.92,52.56,0.33,2.46,3.27,1.09,211.0,0.22,0.25,0.25
2014-06-02,30.13,36.09,24.41,56.17,0.66,1.79,3.26,0.28,226.4,0.23,0.25,0.25
2014-06-03,30.3,36.19,24.89,53.25,0.27,2.41,3.05,1.79,225.7,0.22,0.25,0.25
2014-06-04,31.51,39.11,24.38,46.78,0.71,1.85,2.65,0.98,173.9,0.23,0.25,0.25
2014-06-05,31.72,39.72,24.39,44.33,1.3,2.23,3.14,1.22,180.1,0.23,0.25,0.25
2014-06-06,31.54,38.81,24.75,48.18,1.24,1.96,3.08,0.29,224.6,0.23,0.25,0.25
2014-06-07,31.95,39.74,24.81,46.63,0.27,1.75,2.79,0.67,208.7,0.22,0.24,0.25
2014-06-08,31.38,37.97,25.15,47.99,0.92,2.1,3.23,0.75,214.5,0.22,0.24,0.25
2014-06-09,30.3,36.0,25.26,54.31,0.83,2.68,3.28,1.93,223.7,0.23,0.24,0.25
2014-06-10,29.86,35.93,25.13,55.49,0.55,2.13,2.86,1.76,244.9,0.24,0.24,0.25
2014-06-11,29.56,35.99,24.5,53.82,1.87,1.76,2.66,0.48,200.3,0.25,0.25,0.25
2014-06-12,30.11,36.29,23.9,48.26,3.34,1.6,3.0,0.47,72.5,0.29,0.25,0.25
2014-06-13,31.04,37.92,24.48,49.01,3.81,1.46,3.32,0.17,234.4,0.31,0.25,0.25
2014-06-14,30.95,38.83,23.65,49.9,2.04,2.04,3.25,0.31,272.7,0.28,0.25,0.25
2014-06-15,31.34,39.2,23.4,48.63,1.57,1.73,2.92,0.22,262.2,0.26,0.25,0.25
2014-06-16,29.69,35.76,23.83,54.66,1.82,1.85,2.83,0.89,220.0,0.26,0.25,0.25
2014-06-17,29.81,35.89,24.8,54.83,0.49,1.59,2.46,0.65,187.2,0.26,0.25,0.25
2014-06-18,30.76,38.44,23.93,48.05,1.02,1.79,3.42,0.21,225.3,0.24,0.25,0.25
2014-06-19,30.7,39.05,23.03,49.69,1.03,1.97,3.33,0.25,257.8,0.24,0.25,0.25
2014-06-20,30.09,36.75,23.52,57.33,2.6,2.09,3.44,0.16,241.8,0.26,0.25,0.26
2014-06-21,31.17,38.07,24.86,50.3,2.79,1.7,2.73,0.75,238.2,0.29,0.25,0.26
2014-06-22,30.63,37.9,23.54,53.36,4.1,1.68,2.72,0.76,155.7,0.3,0.26,0.26
2014-06-23,29.44,35.43,24.14,60.04,5.02,1.9,2.89,0.64,201.7,0.34,0.26,0.26
2014-06-24,30.37,37.81,23.61,52.96,1.32,1.4,2.29,0.41,214.8,0.29,0.26,0.26
2014-06-25,30.34,37.4,23.5,54.19,2.98,1.97,3.14,0.53,228.0,0.3,0.26,0.26
2014-06-26,30.69,37.38,23.89,50.66,1.02,1.56,2.67,0.35,224.7,0.27,0.26,0.26
2014-06-27,29.81,35.74,23.99,53.58,3.07,1.67,2.32,0.38,233.2,0.28,0.26,0.26
2014-06-28,28.04,32.45,23.68,63.65,9.44,1.62,2.77,0.66,229.7,0.38,0.27,0.26
